Incentive Report
Date: 4/29/2022 2:13:04 PM

Date                Total Incentive Discount
--------------------------------------------

4/29/2022 12:00:00 AM             0.00
4/30/2022 12:00:00 AM             0.00
5/1/2022 12:00:00 AM             0.00
5/2/2022 12:00:00 AM             0.00
5/3/2022 12:00:00 AM             0.00
5/4/2022 12:00:00 AM             0.00
5/5/2022 12:00:00 AM             0.00
5/6/2022 12:00:00 AM             0.00
5/7/2022 12:00:00 AM             0.00
5/8/2022 12:00:00 AM             0.00
5/9/2022 12:00:00 AM             0.00
5/10/2022 12:00:00 AM             0.00
5/11/2022 12:00:00 AM             0.00
5/12/2022 12:00:00 AM             0.00
5/13/2022 12:00:00 AM             0.00
5/14/2022 12:00:00 AM             0.00
5/15/2022 12:00:00 AM             0.00
5/16/2022 12:00:00 AM             0.00
5/17/2022 12:00:00 AM             0.00
5/18/2022 12:00:00 AM             0.00
5/19/2022 12:00:00 AM             0.00
5/20/2022 12:00:00 AM             0.00
5/21/2022 12:00:00 AM             0.00
5/22/2022 12:00:00 AM             0.00
5/23/2022 12:00:00 AM             0.00
5/24/2022 12:00:00 AM             0.00
5/25/2022 12:00:00 AM             0.00
5/26/2022 12:00:00 AM             0.00
5/27/2022 12:00:00 AM             0.00
5/28/2022 12:00:00 AM             0.00
Total Incentive Discount:  $0.00
Average Incentive Discount:  $0.00
